sample_name,competition_league_name,n_rows,n_players,n_matches,mean,median,sd
match_level_all_comps,Serie A,14062,831,853,6.806378893471768,6.7,0.7601948128086683
match_level_all_comps,Championship,13532,712,563,6.832537688442211,6.8,0.7697117072763661
match_level_all_comps,Serie B,9984,559,776,6.821254006410256,6.7,0.7483294627757439
match_level_all_comps,Premier League,9075,509,506,6.847449035812672,6.8,0.7865947935987282
match_level_all_comps,League One,8167,424,570,6.832704787559692,6.7,0.8008991511491254
match_level_all_comps,Bundesliga,7192,447,375,6.884260289210234,6.8,0.8206517979545939
match_level_all_comps,Eredivisie,7192,422,326,6.901015016685205,6.8,0.8228690164383297
match_level_all_comps,LaLiga,6536,372,392,6.833017135862913,6.7,0.7839295307087123
match_level_all_comps,Ligue 1,6336,455,314,6.840988005050505,6.8,0.8085850928759526
match_level_all_comps,2. Bundesliga,6127,402,315,6.882046678635548,6.8,0.803063544754176
match_level_all_comps,Super Lig,5544,401,330,6.840025252525253,6.8,0.7971431486466894
match_level_all_comps,LaLiga2,5160,292,453,6.814050387596899,6.7,0.7420276473579273
match_level_all_comps,Saudi Pro League,4993,318,315,6.892689765671941,6.8,0.8442446527774959
match_level_all_comps,Super League,4888,294,386,6.873752045826514,6.8,0.8187567855759429
match_level_all_comps,Liga Portugal,4432,291,314,6.847382671480144,6.8,0.7994877674867232
match_level_all_comps,Ekstraklasa,3796,234,315,6.868888303477345,6.8,0.7563722634783315
match_level_all_comps,Premiership,3706,242,219,6.881678359417162,6.8,0.7917601908995123
match_level_all_comps,Ligue 2,3635,264,314,6.873672627235213,6.8,0.7807413729761749
match_level_all_comps,1. Lig,3603,204,320,6.813488759367194,6.8,0.8376589569280618
match_level_all_comps,HNL,3311,179,185,6.829235880398671,6.8,0.795893912448342
match_level_source_league,Serie A,12495,637,770,6.828667466986794,6.8,0.7640059446798233
match_level_source_league,Championship,12417,535,563,6.837674156398486,6.8,0.7695464103254043
match_level_source_league,Serie B,8711,438,770,6.806394214211916,6.7,0.7428630068010684
match_level_source_league,Premier League,8295,382,400,6.868607594936709,6.8,0.7897160788134089
match_level_source_league,League One,7334,330,569,6.821120807199345,6.7,0.7921283937562447
match_level_source_league,Eredivisie,6661,352,326,6.906230295751389,6.8,0.822784717347161
match_level_source_league,Bundesliga,6567,345,315,6.896665143901325,6.8,0.8228403522566042
match_level_source_league,LaLiga,6061,296,392,6.847087939283947,6.8,0.7850628090876557
match_level_source_league,2. Bundesliga,5662,334,315,6.881596608972095,6.8,0.7997860479067078
match_level_source_league,Ligue 1,5526,325,314,6.847231270358306,6.8,0.8100402356842638
match_level_source_league,Saudi Pro League,4860,300,315,6.891666666666667,6.8,0.8447034232350094
match_level_source_league,Super Lig,4751,271,329,6.859040202062723,6.8,0.791897019264687
match_level_source_league,LaLiga2,4565,221,453,6.80998904709748,6.7,0.7464118813612483
match_level_source_league,Super League,4361,231,216,6.876840174271956,6.8,0.8204721254400967
match_level_source_league,Liga Portugal,3978,233,314,6.8579688285570635,6.8,0.7983028874804369
match_level_source_league,1. Lig,3549,198,320,6.815919977458439,6.8,0.8408387061642622
match_level_source_league,Ekstraklasa,3532,199,313,6.872536806342016,6.8,0.7594129539401192
match_level_source_league,Premiership,3459,198,204,6.88485111303845,6.8,0.7877397361682765
match_level_source_league,Ligue 2,3171,185,312,6.860327972248502,6.8,0.7767052591509219
match_level_source_league,HNL,3043,158,185,6.824548143279658,6.8,0.7990864799248915
