tenure_bin,share_played,mean_minutes,n
0,0.9332475592219783,197.54597744645417,13213
0.25,0.9012621614514856,206.81685511438408,7606
0.5,0.9099673687333135,212.6113912785533,6742
0.75,0.861612072138388,174.87044534412962,2717
1,0.9028116006198804,215.16072614567287,4517
1.25,0.9161137440758294,243.54028436019,4220
1.5,0.904,214.86041379310353,3625
1.75,0.8740588637919233,185.1211498973305,1461
2,0.9061550151975684,213.39589665653483,2632
2.25,0.9305724725943971,244.75071051563154,2463
2.5,0.9203109815354713,215.68367346938766,2058
2.75,0.8903878583473862,175.84991568296792,593
3,0.9283930058284763,226.0999167360533,1201
3.25,0.9408502772643254,271.59426987060993,1082
3.5,0.9586374695863747,201.2664233576642,822
