spec_name,control_name,cluster_name,minute_weighted,outcome_name,term,estimate,std_error,t_value,p_value,nobs
player_month,none,player,FALSE,z_weighted_ls,BosmanTRUE,0.030869046527936237,0.01074323742239585,2.8733467682269773,0.004072552922744931,148567
player_month,none,player,TRUE,z_weighted_ls,BosmanTRUE,0.03175321454005709,0.009921422623601201,3.2004699068581313,0.0013775868956481367,148567
player_month,none,club,FALSE,z_weighted_ls,BosmanTRUE,0.034036139366886486,0.011491847724549057,2.961763867979035,0.0031198442620882726,132672
player_month,none,club,TRUE,z_weighted_ls,BosmanTRUE,0.033292599454868,0.01102472486442725,3.0198122732559995,0.0025835028590610737,132672
player_month,none,player_club,FALSE,z_weighted_ls,BosmanTRUE,0.034036139366886486,0.01176140778421156,2.893883112579124,0.0038748311976059082,132672
player_month,none,player_club,TRUE,z_weighted_ls,BosmanTRUE,0.033292599454868,0.011340178604604725,2.935809092226237,0.0033910504518322245,132672
player_month,win_control,player,FALSE,z_weighted_ls,BosmanTRUE,0.03242979015293458,0.010187190555188456,3.1833889802343696,0.0014613921498251223,148567
player_month,win_control,player,TRUE,z_weighted_ls,BosmanTRUE,0.03202654888037891,0.008993992638392543,3.5608822653098007,3.718341379159011e-4,148567
player_month,win_control,club,FALSE,z_weighted_ls,BosmanTRUE,0.03686441675331893,0.010640422434944473,3.464563270744928,5.500859704323383e-4,132672
player_month,win_control,club,TRUE,z_weighted_ls,BosmanTRUE,0.03531501138376275,0.009645386441814254,3.6613371166412443,2.619682987591885e-4,132672
player_month,win_control,player_club,FALSE,z_weighted_ls,BosmanTRUE,0.03686441675331893,0.010936340701284441,3.3708182435272263,7.736233656849762e-4,132672
player_month,win_control,player_club,TRUE,z_weighted_ls,BosmanTRUE,0.03531501138376275,0.00996436880121464,3.544129295922679,4.0926295433805473e-4,132672
player_month,event_controls,player,FALSE,z_weighted_ls,BosmanTRUE,0.015757401112802414,0.008501924234941123,1.8533923235922056,0.06386424355662569,148567
player_month,event_controls,player,TRUE,z_weighted_ls,BosmanTRUE,0.015235141941644473,0.007726454377527888,1.9718154275207176,0.04866629858863855,148567
player_month,event_controls,club,FALSE,z_weighted_ls,BosmanTRUE,0.020978497192841852,0.008814052531240619,2.380119373975303,0.017464593629036712,132672
player_month,event_controls,club,TRUE,z_weighted_ls,BosmanTRUE,0.02053944303524738,0.008297350906119523,2.475421766253007,0.013446999969120873,132672
player_month,event_controls,player_club,FALSE,z_weighted_ls,BosmanTRUE,0.020978497192841852,0.008981095583093693,2.3358505650838923,0.019665272459810708,132672
player_month,event_controls,player_club,TRUE,z_weighted_ls,BosmanTRUE,0.02053944303524738,0.008523042563063037,2.409872165165611,0.016109866675386896,132672
spell_leaguemonth,none,player,FALSE,z_weighted_ls,BosmanTRUE,-0.015021624520553334,0.012051931286371206,-1.2464080788064542,0.21265240591481613,148567
spell_leaguemonth,none,player,TRUE,z_weighted_ls,BosmanTRUE,-0.004502922100628563,0.011025763151189133,-0.40840003897081,0.6829913230288905,148567
spell_leaguemonth,none,club,FALSE,z_weighted_ls,BosmanTRUE,-0.004064817354821094,0.012737503977883003,-0.31912196941246207,0.7496903158360111,132672
spell_leaguemonth,none,club,TRUE,z_weighted_ls,BosmanTRUE,0.003847589715816557,0.011716994472548559,0.32837684824644875,0.742684810086707,132672
spell_leaguemonth,none,player_club,FALSE,z_weighted_ls,BosmanTRUE,-0.004064817354821094,0.01260962328955856,-0.3223583497682265,0.7472381434838746,132672
spell_leaguemonth,none,player_club,TRUE,z_weighted_ls,BosmanTRUE,0.003847589715816557,0.011503708413457797,0.3344651635393846,0.7380878108327147,132672
spell_leaguemonth,win_control,player,FALSE,z_weighted_ls,BosmanTRUE,-0.02013858071325054,0.011680624260940197,-1.7241014061717235,0.08472954000525382,148567
spell_leaguemonth,win_control,player,TRUE,z_weighted_ls,BosmanTRUE,-0.008740040925133195,0.010294277992188234,-0.8490193223619505,0.395896845835492,148567
spell_leaguemonth,win_control,club,FALSE,z_weighted_ls,BosmanTRUE,-0.011345169750167843,0.012233253629540555,-0.9274041145335049,0.35390576226188075,132672
spell_leaguemonth,win_control,club,TRUE,z_weighted_ls,BosmanTRUE,-0.0022776307236186365,0.010816172784957433,-0.21057639970269762,0.8332540627198988,132672
spell_leaguemonth,win_control,player_club,FALSE,z_weighted_ls,BosmanTRUE,-0.011345169750167843,0.01218809995421656,-0.9308399006231403,0.3521261381273666,132672
spell_leaguemonth,win_control,player_club,TRUE,z_weighted_ls,BosmanTRUE,-0.0022776307236186365,0.010689009388683297,-0.2130815532850048,0.8313000344709782,132672
spell_leaguemonth,event_controls,player,FALSE,z_weighted_ls,BosmanTRUE,-0.016211051890700785,0.009815173346684004,-1.6516317458802283,0.09865028337196863,148567
spell_leaguemonth,event_controls,player,TRUE,z_weighted_ls,BosmanTRUE,-0.007690896293056752,0.008884291820721884,-0.8656735334963183,0.3866960976930913,148567
spell_leaguemonth,event_controls,club,FALSE,z_weighted_ls,BosmanTRUE,-0.008844519612868364,0.010544657783741295,-0.8387678191420913,0.4017689177039606,132672
spell_leaguemonth,event_controls,club,TRUE,z_weighted_ls,BosmanTRUE,-0.0024864702758331356,0.00975990283626682,-0.25476383500393684,0.7989497512467184,132672
spell_leaguemonth,event_controls,player_club,FALSE,z_weighted_ls,BosmanTRUE,-0.008844519612868364,0.010446003761611717,-0.8466893000145483,0.39733942159736657,132672
spell_leaguemonth,event_controls,player_club,TRUE,z_weighted_ls,BosmanTRUE,-0.0024864702758331356,0.009600307173530253,-0.25899903314435335,0.7956810068596968,132672
