"sample_name","season","master_monthly_rows","master_players","panel_rows","panel_players","exact_player_month_overlap","overlap_players","strict_rows","strict_players","strict_share_of_master","strict_share_of_overlap"
"all_comps","2021/2022",0,0,19,19,0,0,0,0,,
"all_comps","2022/2023",5595,782,26442,2649,4841,665,4318,633,0.771760500446828,0.891964470150795
"all_comps","2023/2024",7312,958,40089,3635,6818,881,6046,850,0.826859956236324,0.886770313875037
"all_comps","2024/2025",18433,6805,45306,4224,10468,3871,9186,3617,0.498345358867249,0.877531524646542
"all_comps","2025/2026",56248,8134,40774,5284,35971,5238,32785,5131,0.582865168539326,0.911428650857635
"all_comps","NA/NA",1,1,0,0,0,0,0,0,0,
"source_league","2021/2022",0,0,19,19,0,0,0,0,,
"source_league","2022/2023",5595,782,26442,2649,4841,665,4318,633,0.771760500446828,0.891964470150795
"source_league","2023/2024",7312,958,40089,3635,6818,881,6046,850,0.826859956236324,0.886770313875037
"source_league","2024/2025",11162,4168,45008,4221,6316,2398,5596,2258,0.501343845189034,0.886003799873338
"source_league","2025/2026",48558,7757,40224,5253,31332,5091,27830,4855,0.573129041558548,0.888229286352611
"source_league","NA/NA",1,1,0,0,0,0,0,0,0,
