sample_observations,sample_players,sample_clubs,sample_seasons,variable,n,mean,sd,min,p25,median,p75,max
146485,5695,1448,5,Age,146017,25.147914283944285,4.182359785794574,15,22,25,28,42
146485,5695,1448,5,Assists_per90_tm,109247,0.11697530102931725,0.8219433548195307,0,0,0,0,90
146485,5695,1448,5,Assists_tm,146485,0.19783595589991285,0.537084337899571,0,0,0,0,9
146485,5695,1448,5,DaysToExpiry,146485,794.3003583984896,451.9471517813376,0,441,759,1095,3621
146485,5695,1448,5,Goals_per90_tm,109247,0.15603625771611412,0.7573998402564183,0,0,0,0,90
146485,5695,1448,5,Goals_tm,146485,0.27060108543536465,0.711719296414131,0,0,0,0,12
146485,5695,1448,5,Minutes_tm,146485,169.9474963306653,163.34976443029336,0,0,135,278,900
146485,5695,1448,5,fotmob_assists,40492,0.2131285192136649,0.5449062255789812,0,0,0,0,8
146485,5695,1448,5,fotmob_goals,40492,0.3230514669564334,0.7561486170354982,0,0,0,0,12
146485,5695,1448,5,fotmob_matches,40492,3.9568556751951056,1.8281995979886552,1,3,4,5,11
146485,5695,1448,5,fotmob_mean_rating_clean,34746,5.482658455749236,1.864681577383143,0.4875,4.2,6.18,6.94,9.6
146485,5695,1448,5,fotmob_minutes,40492,208.1390398103278,159.6633519086358,0,78,180,331,1080
146485,5695,1448,5,fotmob_minutes_weighted_rating_clean,34746,6.534556069984825,1.1121162482529396,0.284824902723735,6.225,6.76,7.18571428571429,9.6
